Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
Allegheny Center,1,72,28,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,10,20,18,0,10,29,25,12,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Allegheny West,2,69,31,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6,10,16,0,10,0,10,4,8,15,16,21,18,0,10,0,10,0,10,11,17,0,10,0,10
Allentown,3,538.0,112.769676775,45.0,33.7342555869,19.0,21.1187120819,22.0,26.1533936612,44.0,30.7408522979,100.0,69.7638875064,49.0,29.1376045686,24.0,25.3771550809,97.0,60.3158354,58.0,39.1024295921,41.0,30.2985148151,20.0,34.9857113691,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,13.0,24.4948974278,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,6.0,16.7630546143,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Arlington,4,492.0,84.4334057113,12.0,16.1864140563,29.0,27.5136329844,5.0,16.2480768093,43.0,30.2158898595,27.0,30.4795013083,45.0,25.3968501984,49.0,30.7408522979,87.0,35.1852241715,103.0,52.2302594288,21.0,17.8325545001,37.0,26.3438797446,7.0,17.3205080757,9.0,17.9164728672,0.0,17.3205080757,6.0,16.2480768093,0.0,17.3205080757,0.0,17.3205080757,2.0,15.0,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,17.9164728672,0.0,17.3205080757,3.0,15.779733838,0.0,17.3205080757,0.0,17.3205080757
Arlington Heights,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Banksville,6,985.0,139.728307798,26.0,35.5105618091,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,93.0,68.7095335452,47.0,45.7055795281,32.0,36.6742416418,88.0,61.0737259384,57.0,41.3037528561,65.0,43.6577599059,155.0,75.4453444554,149.0,76.4264352171,173.0,89.5153618101,41.0,37.7094152699,14.0,28.0,18.0,28.7923600978,10.0,24.9799919936,0.0,20.0,0.0,20.0,17.0,31.2409987036,0.0,20.0,0.0,20.0
Bedford Dwellings,7,48,31,4,6,5,7,8,11,13,15,3,6,0,10,0,10,0,10,0,10,0,10,0,10,5,7,0,10,0,10,0,10,10,19,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Beechview,8,2065.0,199.682247584,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,9.0,33.1058907144,39.0,43.8634243989,45.0,38.9743505398,125.0,53.5350352573,162.0,66.5131565932,311.0,102.151847756,445.0,117.119596994,311.0,96.6126285741,171.0,74.0877857678,191.0,67.1490878568,135.0,69.8212002188,35.0,37.229020938,14.0,36.6196668472,31.0,38.6910842443,27.0,37.9077828421,0.0,31.6227766016,7.0,33.1058907146,0.0,31.6227766016,7.0,31.9530906172,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016
Beltzhoover,9,556.0,129.988461026,4.0,18.3303027798,19.0,25.4950975679,45.0,42.2610932182,84.0,54.7174560812,54.0,57.4891294072,17.0,27.2213151776,28.0,27.0185121722,133.0,77.0519305403,29.0,28.7923600978,31.0,31.6069612585,13.0,21.0713075057,24.0,26.83281573,27.0,42.6731765867,19.0,22.6495033058,9.0,22.9128784748,7.0,20.0,0.0,20.0,13.0,26.4575131106,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Bloomfield,10,1688.0,134.014924542,5.0,30.8058436015,23.0,35.7910603364,5.0,31.0483493925,15.0,31.384709653,0.0,31.6227766016,17.0,30.3479818109,4.0,30.8058436015,58.0,37.0135110467,75.0,39.5727178748,56.0,32.6036807737,121.0,43.8520238984,168.0,64.6915759586,97.0,43.2666153055,236.0,58.223706512,139.0,53.6283507112,163.0,59.4978991226,121.0,49.0611862882,152.0,56.5862174032,72.0,41.701318924,87.0,43.9431450855,41.0,41.0365690573,26.0,36.2077339804,3.0,30.4138126515,4.0,31.0483493924,0.0,31.6227766016,0.0,31.6227766016
Bluff,11,79.0,32.9241552663,0.0,20.0,5.0,18.6815416922,13.0,21.0713075057,10.0,17.8044938147,0.0,20.0,7.0,17.7763888346,0.0,20.0,9.0,21.6564078277,3.0,17.7763888346,3.0,18.3303027798,4.0,18.3303027798,4.0,18.6815416923,7.0,18.6815416923,5.0,19.5192212959,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,3.0,18.3303027798,0.0,20.0,6.0,19.5192212959,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Bon Air,12,305,62,2,4,7,11,0,10,0,10,0,10,6,10,0,10,0,10,17,16,32,25,75,39,60,48,52,31,10,13,4,10,14,21,0,10,20,23,0,10,0,10,6,17,0,10,0,10,0,10,0,10,0,10
