Neighborhood,Rank
Ridgemont,1
Chartiers City,2
Mt. Oliver Boro,3
Outside State,4
St. Clair,5
Mt. Oliver Neighborhood,6
Swisshelm Park,7
New Homestead,8
Arlington Heights,9
Oakwood,10
Regent Square,11
Summer Hill,12
Spring Garden,13
Hays,14
Unable To Retrieve Address,15
Fairywood,16
Outside City,17
Duquesne Heights,18
Windgap,19
Friendship,20
Allegheny West,21
Polish Hill,22
Glen Hazel,23
East Carnegie,24
Lower Lawrenceville,25
Bon Air,26
Esplen,27
Morningside,28
Upper Hill,29
Stanton Heights,30
Westwood,31
West End,32
California-Kirkbride,33
Terrace Village,34
Mount Oliver,35
Fineview,36
Point Breeze North,37
Upper Lawrenceville,38
Manchester,39
Banksville,40
Homewood West,41
Troy Hill,42
Lincoln Place,43
Highland Park,44
Perry North,45
Point Breeze,46
Golden Triangle/Civic Arena,47
Overbrook,48
South Shore,49
Spring Hill-City View,50
Bedford Dwellings,51
Perry South,52
Crafton Heights,53
Northview Heights,54
Chateau,55
Beltzhoover,56
West Oakland,57
Arlington,58
Central Lawrenceville,59
Brighton Heights,60
Crawford-Roberts,61
Middle Hill,62
Strip District,63
Garfield,64
Marshall-Shadeland,65
Elliott,66
South Oakland,67
Lincoln-Lemington-Belmar,68
East Hills,69
Bluff,70
Greenfield,71
Bloomfield,72
Central North Side,73
Beechview,74
Larimer,75
Allegheny Center,76
Homewood North,77
Squirrel Hill North,78
Allentown,79
South Side Slopes,80
Knoxville,81
North Oakland,82
East Liberty,83
Homewood South,84
Sheraden,85
Squirrel Hill South,86
Hazelwood,87
Brookline,88
Mount Washington,89
Shadyside,90
East Allegheny,91
Carrick,92
North Shore,93
Central Oakland,94
Central Business District,95
South Side Flats,96
