Neighborhood,Rank
Central Business District,1
Squirrel Hill South,2
Allegheny Center,3
Highland Park,4
South Side Flats,5
North Shore,6
Beechview,7
Shadyside,8
Brighton Heights,9
Lower Lawrenceville,10
Central Oakland,11
Spring Hill-City View,12
Point Breeze,13
Elliott,14
Greenfield,15
Beltzhoover,16
Duquesne Heights,17
Crawford-Roberts,18
South Side Slopes,19
Hazelwood,20
Carrick,21
Garfield,22
Upper Hill,23
Spring Garden,24
Lincoln-Lemington-Belmar,25
West End,26
East Allegheny,27
Central Lawrenceville,28
Mount Washington,29
Perry North,30
Squirrel Hill North,31
Brookline,32
Strip District,33
Allentown,34
Manchester,35
Polish Hill,36
Esplen,37
Bloomfield,38
East Liberty,39
Overbrook,40
Troy Hill,41
Oakwood,42
Hays,43
Allegheny West,44
East Carnegie,45
Perry South,46
Regent Square,47
Knoxville,48
Upper Lawrenceville,49
East Hills,50
Crafton Heights,51
Sheraden,52
North Oakland,53
Swisshelm Park,54
Stanton Heights,55
Arlington,56
Arlington Heights,56
Banksville,56
Bedford Dwellings,56
Bluff,56
Bon Air,56
California-Kirkbride,56
Central Northside,56
Chartiers City,56
Chateau,56
Fairywood,56
Fineview,56
Friendship,56
Glen Hazel,56
Homewood North,56
Homewood South,56
Homewood West,56
Larimer,56
Lincoln Place,56
Marshall-Shadeland,56
Middle Hill,56
Morningside,56
Mount Oliver,56
New Homestead,56
Northview Heights,56
Point Breeze North,56
Ridgemont,56
South Oakland,56
South Shore,56
St. Clair,56
Summer Hill,56
Terrace Village,56
West Oakland,56
Westwood,56
Windgap,56
