neighborhood,rank
Mt. Oliver Neighborhood,1
Troy Hill-Herrs Island,2
Mt. Oliver Boro,3
Central Northside,4
Ridgemont,5
Regent Square,6
Swisshelm Park,7
Chartiers City,8
New Homestead,9
St. Clair,10
East Carnegie,11
Outside County,12
Outside State,13
Summer Hill,14
Oakwood,15
Golden Triangle/Civic Arena,16
Windgap,17
Hays,18
Fairywood,19
Allegheny West,20
Mount Oliver,21
Arlington Heights,22
Glen Hazel,23
Polish Hill,24
Friendship,25
Morningside,26
Esplen,27
Duquesne Heights,28
Upper Lawrenceville,29
Lincoln Place,30
Westwood,31
Stanton Heights,32
Spring Garden,33
Bon Air,34
Lower Lawrenceville,35
Terrace Village,36
Squirrel Hill North,37
West End,38
Point Breeze North,39
Banksville,40
California-Kirkbride,41
Overbrook,42
Arlington,43
South Shore,44
West Oakland,45
Outside City,46
Point Breeze,47
South Oakland,48
Upper Hill,49
Troy Hill,50
North Oakland,51
Chateau,52
Central Lawrenceville,53
Strip District,54
Manchester,55
Greenfield,56
Central Oakland,57
Beltzhoover,58
Crafton Heights,59
Highland Park,60
Bedford Dwellings,61
Elliott,62
Perry North,63
Garfield,64
Northview Heights,65
Spring Hill-City View,66
North Shore,67
Homewood West,68
Squirrel Hill South,69
South Side Slopes,70
Crawford-Roberts,71
Larimer,72
Central North Side,73
Fineview,74
Middle Hill,75
Allentown,76
Shadyside,77
Bloomfield,78
Perry South,79
Brighton Heights,80
East Hills,81
Allegheny Center,82
Beechview,83
Lincoln-Lemington-Belmar,84
Sheraden,85
Brookline,86
Hazelwood,87
Knoxville,88
Mount Washington,89
Bluff,90
Marshall-Shadeland,91
East Liberty,92
Homewood North,93
Homewood South,94
East Allegheny,95
Carrick,96
South Side Flats,97
Central Business District,98
