Neighborhood,Rank
Central Oakland,1
North Oakland,2
Terrace Village,3
Bluff,4
South Oakland,5
Squirrel Hill North,6
West Oakland,7
Homewood North,8
Central Business District,9
Northview Heights,10
Allentown,11
Shadyside,12
Elliott,13
Knoxville,14
Friendship,15
South Side Flats,16
South Shore,17
West End,18
Squirrel Hill South,19
Lincoln-Lemington-Belmar,20
Allegheny Center,21
Upper Hill,22
Mount Oliver Borough,23
Highland Park,24
Garfield,25
Fineview,26
Sheraden,27
Bedford Dwellings,28
Bon Air,29
East Liberty,30
Windgap,31
Homewood South,32
East Hills,33
Crafton Heights,34
Hazelwood,35
Perry South,36
Crawford-Roberts,37
Bloomfield,38
South Side Slopes,39
New Homestead,40
Stanton Heights,41
Glen Hazel,42
Spring Hill-City View,43
Point Breeze,44
Upper Lawrenceville,45
Arlington,46
St. Clair,47
Carrick,48
Regent Square,49
Beechview,50
Lower Lawrenceville,51
Larimer,52
East Carnegie,53
Brookline,54
Perry North,55
Morningside,56
Swisshelm Park,57
Beltzhoover,58
Brighton Heights,59
Fairywood,60
Mt. Oliver,61
Chartiers City,62
Greenfield,63
Overbrook,64
Manchester,65
Troy Hill,66
California-Kirkbride,67
Esplen,68
Central Northside,69
Westwood,70
Arlington Heights,71
Mount Washington,72
Middle Hill,73
Homewood West,74
Point Breeze North,75
Lincoln Place,76
Allegheny West,77
Summer Hill,78
Duquesne Heights,79
Marshall-Shadeland,80
Hays,81
East Allegheny,82
Oakwood,83
Central Lawrenceville,84
Spring Garden,85
Ridgemont,86
Banksville,87
Polish Hill,88
Strip District,89
North Shore,90
Chateau,91
