neighborhood,rank
Highland Park,1
Squirrel Hill South,2
Perry North,3
Brookline,4
Strip District,5
Brighton Heights,6
Hazelwood,7
Carrick,8
Lincoln-Lemington-Belmar,9
South Side Slopes,10
Elliott,11
Morningside,12
Shadyside,13
Point Breeze,14
Central Business District,15
Squirrel Hill North,16
Beltzhoover,17
Banksville,18
Mount Washington,19
Lower Lawrenceville,20
Sheraden,21
Bloomfield,22
Spring Hill-City View,23
Bedford Dwellings,24
Beechview,25
Homewood West,26
South Side Flats,27
Lincoln Place,28
Polish Hill,29
Greenfield,30
Allegheny Center,31
Westwood,32
Garfield,33
Regent Square,34
Knoxville,35
Crawford-Roberts,36
Allentown,37
Bluff,38
Oakwood,39
East Hills,40
East Liberty,41
Homewood South,42
Windgap,43
Troy Hill,44
Central Lawrenceville,45
Terrace Village,46
Chateau,47
North Oakland,48
Manchester,49
Allegheny West,50
Marshall-Shadeland,51
Hays,52
Perry South,53
Upper Hill,54
Duquesne Heights,55
Overbrook,56
South Oakland,57
West End,58
West Oakland,59
Swisshelm Park,60
California-Kirkbride,61
Homewood North,62
Point Breeze North,63
Bon Air,64
Central Oakland,65
East Allegheny,66
Fineview,67
Middle Hill,68
Larimer,69
Glen Hazel,70
Fairywood,71
Upper Lawrenceville,72
Central Northside,73
Stanton Heights,74
Crafton Heights,75
Arlington,76
Arlington Heights,76
Chartiers City,76
East Carnegie,76
Esplen,76
Friendship,76
Mount Oliver,76
New Homestead,76
North Shore,76
Northview Heights,76
Ridgemont,76
South Shore,76
Spring Garden,76
St. Clair,76
Summer Hill,76
