Neighborhood,Rank
Brookline,1
Squirrel Hill South,2
Carrick,3
Brighton Heights,4
Beechview,5
Greenfield,6
Squirrel Hill North,7
Shadyside,8
Mount Washington,9
Stanton Heights,10
Bloomfield,11
Point Breeze,12
Highland Park,13
South Side Flats,14
Sheraden,15
Overbrook,16
Lincoln Place,17
Perry North,18
South Side Slopes,19
Crafton Heights,20
Hazelwood,21
Central Lawrenceville,22
Banksville,23
Westwood,24
Marshall-Shadeland,25
Morningside,26
North Oakland,27
Lincoln-Lemington-Belmar,28
Duquesne Heights,29
Perry South,30
Knoxville,31
Spring Hill-City View,32
Garfield,33
Troy Hill,34
Upper Lawrenceville,35
Mount Oliver Borough,36
Elliott,37
East Hills,38
Beltzhoover,39
Central Northside,40
Homewood North,41
Allentown,42
Windgap,43
Swisshelm Park,44
Upper Hill,45
Manchester,46
Arlington,47
Lower Lawrenceville,48
East Allegheny,49
East Liberty,50
South Oakland,51
Summer Hill,52
Central Business District,53
Homewood South,54
New Homestead,55
Regent Square,56
Point Breeze North,57
Polish Hill,58
Bon Air,59
Spring Garden,60
Middle Hill,61
Fineview,62
Oakwood,63
Crawford-Roberts,64
Larimer,65
West Oakland,66
Central Oakland,67
Homewood West,68
Chartiers City,69
Mt. Oliver,70
East Carnegie,71
Ridgemont,72
California-Kirkbride,73
Esplen,74
Fairywood,75
Hays,76
Bluff,77
Friendship,78
Allegheny Center,79
Strip District,80
Allegheny West,81
Terrace Village,82
St. Clair,83
Bedford Dwellings,84
West End,85
Northview Heights,86
Chateau,87
North Shore,88
Glen Hazel,89
Arlington Heights,90
South Shore,91
